epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,726.212,1.04797,0.67288,1.23445,0.96525,0.94978,0.97301,0.80194,0.82861,0.55201,1.09185,0.00108088,0.00108088,0.00108088
43,742.983,1.05558,0.6608,1.23483,0.96616,0.95987,0.97223,0.82132,0.80287,0.53756,1.06518,0.00107675,0.00107675,0.00107675
44,759.799,1.0617,0.6759,1.22747,0.95981,0.95041,0.96997,0.82514,0.78147,0.54076,1.05316,0.00107263,0.00107263,0.00107263
45,776.877,1.03488,0.65323,1.22628,0.9674,0.94746,0.97234,0.82526,0.79591,0.52595,1.06213,0.0010685,0.0010685,0.0010685
46,794.284,1.0125,0.64845,1.2151,0.97699,0.9401,0.97377,0.82398,0.79968,0.51739,1.06906,0.00106437,0.00106437,0.00106437
47,811.052,1.03167,0.65052,1.21801,0.9708,0.94335,0.97163,0.81841,0.79101,0.54212,1.05597,0.00106025,0.00106025,0.00106025
48,828.282,1.02052,0.65316,1.21772,0.97137,0.95661,0.97339,0.82403,0.79155,0.52915,1.05883,0.00105612,0.00105612,0.00105612
49,845.526,1.00049,0.63966,1.20012,0.97473,0.94397,0.96985,0.82531,0.77668,0.53385,1.0613,0.001052,0.001052,0.001052
50,862.437,1.01606,0.64251,1.19148,0.9773,0.94634,0.97327,0.82706,0.7695,0.51823,1.0404,0.00104787,0.00104787,0.00104787
51,879.688,1.01344,0.63415,1.19414,0.97624,0.9472,0.96955,0.81276,0.83417,0.54874,1.09033,0.00104375,0.00104375,0.00104375
52,896.878,1.01179,0.62979,1.19244,0.97079,0.93939,0.97192,0.82365,0.7869,0.52196,1.05384,0.00103962,0.00103962,0.00103962
53,914.183,0.97827,0.61646,1.18273,0.9689,0.94076,0.97012,0.82705,0.77322,0.53877,1.0469,0.0010355,0.0010355,0.0010355
54,931.133,1.01122,0.63733,1.19948,0.9758,0.94419,0.97057,0.82116,0.78148,0.53002,1.05999,0.00103138,0.00103138,0.00103138
55,948.279,0.97905,0.63051,1.18555,0.97158,0.9546,0.97488,0.82711,0.77225,0.51256,1.05168,0.00102725,0.00102725,0.00102725
56,965.839,0.99693,0.62429,1.20143,0.97655,0.94813,0.97347,0.82943,0.76688,0.51818,1.03864,0.00102312,0.00102312,0.00102312
57,982.64,0.99935,0.63112,1.19711,0.9776,0.9479,0.97417,0.83186,0.77388,0.51,1.05612,0.001019,0.001019,0.001019
58,999.526,0.9897,0.6324,1.19376,0.97762,0.94816,0.97501,0.81636,0.81397,0.51893,1.07148,0.00101488,0.00101488,0.00101488
59,1016.6,0.98713,0.62045,1.18049,0.98182,0.94579,0.97411,0.82805,0.78188,0.50876,1.05296,0.00101075,0.00101075,0.00101075
60,1033.51,0.97335,0.61704,1.18278,0.98037,0.9512,0.97647,0.83354,0.75111,0.49444,1.04233,0.00100663,0.00100663,0.00100663
61,1050.51,0.96936,0.6191,1.18329,0.97154,0.95311,0.9752,0.83636,0.78551,0.51882,1.06507,0.0010025,0.0010025,0.0010025
62,1067.64,0.9588,0.60628,1.16608,0.95546,0.95918,0.97543,0.83357,0.77893,0.50724,1.04877,0.000998375,0.000998375,0.000998375
63,1084.75,0.96009,0.60098,1.17138,0.96956,0.9582,0.97758,0.83236,0.76799,0.4922,1.0543,0.00099425,0.00099425,0.00099425
64,1101.63,0.97772,0.62055,1.19193,0.97285,0.95339,0.97472,0.8333,0.76475,0.51205,1.04811,0.000990125,0.000990125,0.000990125
65,1118.46,0.96052,0.59903,1.17531,0.97337,0.95696,0.97597,0.83357,0.78442,0.49784,1.06135,0.000986,0.000986,0.000986
66,1135.37,0.93931,0.58019,1.15858,0.9705,0.95276,0.97662,0.83026,0.77654,0.49057,1.04973,0.000981875,0.000981875,0.000981875
67,1152.68,0.96562,0.59455,1.17314,0.97733,0.95644,0.97611,0.82929,0.79063,0.49656,1.05515,0.00097775,0.00097775,0.00097775
68,1169.34,0.94151,0.58172,1.15939,0.9799,0.94946,0.97737,0.84667,0.74768,0.47296,1.03563,0.000973625,0.000973625,0.000973625
69,1186.55,0.93237,0.57059,1.15113,0.97403,0.95511,0.97514,0.83924,0.76607,0.4899,1.04791,0.0009695,0.0009695,0.0009695
70,1203.94,0.94481,0.58347,1.15957,0.97056,0.94525,0.97319,0.8312,0.77723,0.50333,1.05606,0.000965375,0.000965375,0.000965375
71,1220.66,0.95198,0.59958,1.16518,0.97662,0.95604,0.97556,0.84121,0.76119,0.48394,1.05048,0.00096125,0.00096125,0.00096125
72,1237.44,0.94898,0.59157,1.16613,0.97531,0.96341,0.97597,0.83744,0.73814,0.48068,1.03089,0.000957125,0.000957125,0.000957125
73,1254.53,0.94298,0.57862,1.15728,0.97646,0.95261,0.9755,0.83579,0.76005,0.49471,1.04534,0.000953,0.000953,0.000953
74,1271.76,0.92676,0.57513,1.14925,0.97758,0.96124,0.97751,0.83622,0.7549,0.48292,1.0394,0.000948875,0.000948875,0.000948875
75,1288.68,0.9208,0.5676,1.14097,0.97,0.95435,0.97588,0.84854,0.7264,0.46723,1.02903,0.00094475,0.00094475,0.00094475
76,1305.64,0.91233,0.56692,1.13536,0.97482,0.94943,0.97564,0.83995,0.75162,0.4795,1.03786,0.000940625,0.000940625,0.000940625
77,1323.31,0.9235,0.56339,1.14684,0.98498,0.94715,0.97663,0.8385,0.76375,0.48671,1.04554,0.0009365,0.0009365,0.0009365
78,1340.24,0.90202,0.55662,1.13704,0.97512,0.95979,0.9779,0.85347,0.73761,0.46403,1.02744,0.000932375,0.000932375,0.000932375
79,1357.24,0.91323,0.56221,1.14196,0.97416,0.95329,0.9772,0.84925,0.74032,0.47284,1.03152,0.00092825,0.00092825,0.00092825
80,1374.47,0.91006,0.56142,1.1364,0.97596,0.96347,0.97975,0.84527,0.74959,0.46594,1.03539,0.000924125,0.000924125,0.000924125
81,1391.96,0.90433,0.56536,1.14562,0.97852,0.95642,0.9787,0.85041,0.73658,0.47643,1.0288,0.00092,0.00092,0.00092
82,1408.99,0.91453,0.56549,1.14863,0.97325,0.95826,0.97567,0.84527,0.75594,0.48388,1.04288,0.000915875,0.000915875,0.000915875
83,1425.81,0.89944,0.55667,1.13794,0.97831,0.95886,0.97749,0.83916,0.75966,0.47423,1.04696,0.00091175,0.00091175,0.00091175
84,1443.25,0.88509,0.54461,1.1307,0.96977,0.96266,0.97705,0.84783,0.74286,0.45457,1.03647,0.000907625,0.000907625,0.000907625
85,1460.09,0.89373,0.55432,1.12481,0.97793,0.95907,0.97801,0.84424,0.75993,0.46676,1.04306,0.0009035,0.0009035,0.0009035
86,1476.85,0.88997,0.54798,1.12962,0.97052,0.96426,0.97764,0.85053,0.73224,0.45367,1.02825,0.000899375,0.000899375,0.000899375
87,1493.94,0.88604,0.53882,1.1292,0.9775,0.96081,0.97793,0.84545,0.7479,0.45843,1.03602,0.00089525,0.00089525,0.00089525
88,1511.24,0.88533,0.53803,1.12285,0.97586,0.9533,0.97718,0.85186,0.72685,0.46049,1.0258,0.000891125,0.000891125,0.000891125
89,1528.13,0.89383,0.55192,1.13408,0.97177,0.95828,0.9751,0.84301,0.76061,0.46668,1.04306,0.000887,0.000887,0.000887
90,1544.65,0.85002,0.52209,1.10975,0.97085,0.96699,0.97975,0.84737,0.74656,0.44836,1.03583,0.000882875,0.000882875,0.000882875
91,1562.16,0.88514,0.53561,1.12584,0.97842,0.95465,0.97598,0.84121,0.75924,0.46192,1.04343,0.00087875,0.00087875,0.00087875
92,1579.03,0.86609,0.53266,1.11766,0.97164,0.96426,0.97876,0.84983,0.74189,0.45922,1.02912,0.000874625,0.000874625,0.000874625
